uid,timestamp,ip_address,browser,os,device,login_result
69457,2025-05-09T08:29:48.630606,39.158.230.191,Edge 113.0.1774.57,Windows 11,Tablet,True
3586,2025-05-03T06:37:44.691683,220.11.253.80,Safari 16.3,iOS 16,Tablet,True
68621,2025-04-29T11:29:14.552019,179.177.135.212,Safari 15.6,iOS 16,Tablet,True
39100,2025-05-22T19:29:50.308832,197.201.76.34,Edge 114.0.1823.67,Android 13,Tablet,True
98261,2025-05-08T11:01:51.111002,200.131.164.90,Edge 114.0.1823.67,Ubuntu 22.04,Desktop,True
81616,2025-04-30T20:29:33.990433,211.60.83.216,Firefox 113.0.1,Windows 11,Tablet,True
5945,2025-05-23T14:45:22.986515,201.168.96.155,Edge 114.0.1823.67,Windows 11,Tablet,True
40591,2025-05-16T19:57:15.870061,201.20.185.144,Safari 16.3,iOS 16,Tablet,True
89149,2025-05-18T02:39:22.296766,104.236.144.45,Safari 16.3,iOS 16,Mobile,True
49321,2025-04-29T10:06:32.819678,209.227.149.35,Firefox 112.0,Windows 11,Tablet,True
83024,2025-05-21T22:33:45.680880,188.16.123.101,Edge 114.0.1823.67,Windows 11,Desktop,True
31025,2025-05-06T12:56:49.592829,223.143.63.114,Firefox 112.0,Android 13,Mobile,True
29122,2025-05-14T11:41:59.123257,24.231.254.159,Firefox 114.0,Ubuntu 22.04,Desktop,True
99403,2025-05-06T01:56:36.758736,58.219.229.58,Safari 16.3,macOS 13,Desktop,True
85683,2025-05-21T22:21:46.492822,63.157.38.176,Firefox 114.0,Android 13,Mobile,True
82248,2025-05-25T22:32:36.256346,162.234.4.110,Firefox 114.0,Windows 11,Tablet,True
49859,2025-05-19T00:23:06.945800,184.188.78.181,Firefox 114.0,Ubuntu 22.04,Desktop,True
80018,2025-05-24T23:19:04.206245,202.243.234.94,Edge 113.0.1774.57,Windows 11,Desktop,True
96299,2025-05-04T13:38:29.133890,201.117.89.252,Safari 16.3,iOS 16,Tablet,True
45249,2025-05-13T03:44:18.111795,143.59.84.184,Safari 16.4,macOS 13,Desktop,True
53227,2025-05-06T19:44:56.537652,145.157.173.192,Edge 114.0.1823.67,Windows 10,Desktop,True
24134,2025-05-12T13:41:14.825843,162.206.73.156,Safari 16.3,iOS 16,Mobile,True
88481,2025-05-09T16:04:54.784715,221.240.216.173,Safari 16.3,iOS 16,Mobile,True
95597,2025-05-14T19:55:43.242433,213.156.87.7,Firefox 112.0,Ubuntu 22.04,Desktop,True
24549,2025-05-04T22:49:34.609957,141.121.8.184,Safari 16.4,macOS 13,Desktop,True
46895,2025-05-16T15:04:31.422020,95.92.229.176,Safari 16.3,macOS 13,Desktop,True
960,2025-05-07T21:31:30.511879,21.254.122.28,Safari 16.3,iOS 16,Mobile,True
72806,2025-05-11T16:56:04.788856,111.35.99.64,Safari 15.6,iOS 16,Mobile,True
56923,2025-05-04T07:22:02.612322,214.204.33.102,Chrome 114.0.5735.91,Windows 11,Tablet,True
11150,2025-05-23T11:53:38.293890,150.115.177.237,Firefox 112.0,Windows 11,Tablet,True
16548,2025-05-15T18:45:45.466765,194.225.152.207,Edge 114.0.1823.67,Windows 10,Desktop,True
78333,2025-05-05T13:23:41.576398,192.199.12.213,Safari 16.3,iOS 16,Mobile,True
77438,2025-05-28T08:55:38.147329,205.137.47.62,Safari 16.4,macOS 13,Desktop,True
32844,2025-05-26T10:24:49.536102,204.129.134.156,Safari 16.4,iOS 16,Tablet,True
49852,2025-05-23T21:55:37.845680,212.172.81.162,Firefox 114.0,Ubuntu 22.04,Desktop,True
82675,2025-05-05T23:20:02.772057,211.28.76.153,Safari 16.4,iOS 16,Tablet,True
94807,2025-05-11T18:30:49.064221,31.34.128.3,Safari 16.3,iOS 16,Mobile,True
797,2025-05-13T19:38:42.409516,219.214.244.207,Safari 15.6,macOS 13,Desktop,True
92633,2025-05-20T23:23:28.784462,204.92.59.29,Safari 16.3,iOS 16,Mobile,True
13913,2025-05-08T16:38:00.152817,13.62.225.142,Firefox 114.0,Android 13,Mobile,True
97504,2025-05-21T14:33:21.846750,222.241.209.140,Edge 114.0.1823.67,Windows 11,Tablet,True
81466,2025-05-11T15:33:23.018588,163.177.159.152,Firefox 114.0,Android 13,Tablet,True
41504,2025-05-27T12:46:29.258050,35.62.248.141,Safari 16.3,iOS 16,Mobile,True
